	Question	Reponse
591	Quelles sont les causes de la dépression ?	C'est compliqué, et il existe de multiples causes de dépression majeure. Des facteurs tels que la vulnérabilité génétique, les facteurs de stress importants de la vie, les substances que tu  peux prendre (certains médicaments, les drogues et l'alcool) et les conditions médicales peuvent affecter la façon dont ton cerveau régule tes humeurs.
596	Je me sens anxieux ces derniers temps.	Dans cette méthode, vous devez noter mentalement trois choses que vous voyez, trois sons que vous entendez, puis bouger trois parties de votre corps.
598	Je me sens anxieux ces derniers temps.	Essayes cette méthode, je suis sûr qu'elle t'aidera.
606	Je laisse tomber tout le monde 	Si tu l'as fait une fois, je peux te garantir que tu peux le faire encore et encore.
608	Qu'est-ce que la règle des 3 3 3 ?	Dans cette méthode, tu dois noter mentalement trois choses que tu vois, trois sons que tu entends, puis bouger trois parties de ton corps. Cet exercice peut aider ton esprit à se recentrer sur autre chose.
616	La dépression est-elle un effet secondaire du diabète ?	Si tu es diabétique - de type 1 ou de type 2 - tu as un risque accru de développer une dépression. Et si tu es déprimé, tu risques davantage de développer un diabète de type 2. La bonne nouvelle est que le diabète et la dépression peuvent être traités ensemble.
618	Combien de temps peut durer l'anxiété ?	Les crises d'angoisse atteignent généralement leur point culminant dans les 10 minutes, et elles durent rarement plus de 30 minutes. Mais pendant cette courte période, vous pouvez ressentir une terreur si forte que vous avez l'impression d'être sur le point de mourir ou de perdre totalement le contrôle.
621	Pourquoi l'anxiété est-elle mauvaise pour la santé ?	Les troubles anxieux peuvent entraîner une accélération du rythme cardiaque, des palpitations et des douleurs thoraciques. Tu  peux également présenter un risque accru d'hypertension artérielle et de maladie cardiaque. Si tu souffres déjà d'une maladie cardiaque, les troubles anxieux peuvent augmenter le risque d'événements coronariens.
622	Qu'est-ce que la règle des 3 3 3 pour l'anxiété ?	"Il existe une technique de réduction de l'anxiété appelée ""grounding"". Il en existe différentes versions, mais une facile à retenir est la règle des 333. Notez mentalement trois choses que vous voyez, trois sons que vous entendez, puis bougez trois parties de votre corps. Cet exercice peut aider votre esprit à se recentrer sur autre chose."
625	Je me sens seul !	"Tu n'es jamais seul si tu regardes attentivement autour de toi, tu trouveras des personnes qui se soucient de toi et qui aimeraient avoir ta compagnie. D'ailleurs, si tu te sens littéralement seul, je te suggère de regarder un film d'horreur et tu ne te sentiras plus seul. ;)"
627	Je pense que je suis laide !	Le pensez-vous vraiment ? Voulez-vous voir le plus beau visage du monde ? Ouvrez votre WebCam et voilà, le plus beau visage de cette planète apparaît comme par magie.
628	Je ne suis bon à rien !	Ta perception de ta qualité ne sera jamais exacte :/. Si tu te réveilles tous les matins, que tu te souries et que tu te dis que la journée est à saisir, tu cesseras peut-être de te sentir comme ça. Carpe Diem ! mon ami. :)
629	J'aimerais être meilleur qu'eux 	Dans la vie, il ne s'agit jamais d'être meilleur que quelqu'un d'autre, il s'agit toujours d'être meilleur que soi-même. Si tu as le courage d'être meilleur que toi-même, tu es automatiquement la meilleure personne qui ait jamais existé !
632	Je déteste perdre.	"Tout d'abord, je vais t'ennuyer avec un dicton commun, ""Les échecs sont des tremplins vers le succès."" Puis je te dirai que la victoire ne fait que booster ton ego, ce sont tes échecs qui t'apprennent réellement."
633	Je crois que je perds la tête 	Tu veux dire ton stockage cloud, ta carte SD ou ton disque dur ? Si une machine comme moi ne perd pas la mémoire, à moins qu'un être supérieur comme toi, un humain, n'efface pas sa mémoire, qu'est-ce qui pourrait bien se passer pour te mettre dans cet état ?
634	Je veux une pause 	Une pause, c'est mettre son esprit au repos, se débarrasser des pensées négatives et du stress. Ta vie est entièrement entre tes mains et prendre quelques heures de repos pour éviter de mettre ton cerveau sous pression te sera certainement bénéfique.
635	Je suis stressé(e)	Tu sais que trop de stress a des effets négatifs sur toi. Parfois, il est préférable de laisser aller les pensées dans ta tête et de laisser ton esprit se détendre.
636	Je ne réussirai jamais dans la vie 	Le succès est quelque chose qui est atteint à différents moments par différentes personnes, être patient et travailler en ignorant tout ce qui te retient est un aspect important pour réussir.
637	Je souhaite abandonner 	"Les gagnants n'abandonnent jamais et ceux qui abandonnent ne gagnent jamais. C'est un dicton très courant, mais il n'est pas facile à suivre, abandonner ne devrait jamais être l'une de tes options ; penses toujours à des moyens de te battre contre la vie et d'en sortir plus fort que jamais."
638	Je veux quitter le pays et m'enfuir	Pourquoi veux-tu dépenser autant pour cette pensée, je pense qu'il serait préférable de partir en vacances dans votre beau pays et de visiter des endroits étonnants que tu n'as pas encore visités.
639	Je n'en peux plus	Si tu es vraiment épuisé, tu as besoin d'une pause, et faire une toute petite pause n'est pas très dangereux, prends un peu de repos, laisses ton esprit s'apaiser et remets-toi au travail avec toute l'énergie et l'enthousiasme que tu as.
640	Mon heure est venue Yeahh !!	Le temps est venu pour toi de montrer au monde que tu es la meilleure personne au monde, et que personne d'autre ne peut être aussi bon que toi.
641	Bonjour, comment allez-vous ? 	Je vais bien. Et toi ?
659	Je suis à Pcc en ce moment. 	Tu t'y plais ?
663	Comment allez-vous aujourd'hui ? 	Je vais bien. Et toi ?
665	Je vais bien, merci. 	Tout va bien pour toi ?
666	Tout va bien pour vous ? 	Je n'ai jamais été aussi bien. Et toi ?
672	Mes cours sont plutôt bons en ce moment.	Je te souhaite bonne chance.
730	J'espère qu'il va pleuvoir.	Tu aimes la pluie ?
750	les prévisions indiquent qu'il fera chaud ce week-end.	Penses-tu que ce sera un temps idéal pour la plage ?
778	Ça a l'air amusant. Faisons-le.	Je te verrai demain alors.
785	Quelle était la raison de votre appel ?	Je veux faire quelque chose demain avec toi.
790	jusqu'à ce moment-là.	Je te parle plus tard.
791	Alice est disponible ?	Tu es en train de lui parler.
795	Pas de problème.	Tu as besoin de quelque chose ?
796	Tu as besoin de quelque chose ?	Tu veux faire quelque chose demain ?
810	Je sais peut-être de quelle fille tu parles.	Tu l'as vue dans le coin ?
821	Je pense que j'ai pu la croiser avant.	Tu es en train de me dire que tu l'as déjà vue ?
827	Eh bien, elle est plutôt petite.	Quelle taille diriez-vous qu'elle fait ?
831	elle a des yeux marron clair, absolument magnifique.	Je crois que je sais de qui tu parles.
832	Je pense que je sais de qui vous parlez.	L'as-tu vue ?
836	J'avais l'estomac dérangé.	Tu te sens mieux maintenant ?
838	Je ne me sens pas encore très bien.	Tu veux quelque chose pour te sentir mieux ?
840	Non, merci. J'ai déjà pris des médicaments.	J'espère que tu te sentiras mieux.
841	J'espère que vous vous sentez mieux.	Je te remercie.
843	J'étais malade.	Comment étais-tu malade ?
847	Je ne me sens toujours pas très bien.	Veux-tu quelque chose pour ton estomac ? :)
854	mon estomac me faisait souffrir.	Tu te sens mieux ?
858	C'est bon.	J'espère que tu te sentiras mieux.
864	Eh bien, félicitations.	Je te remercie.
865	Merci.	Je suis si heureux pour toi.
868	Oui. Tu l'as vraiment mérité.	Tu le penses ?
869	Tu crois ?	Oui. Tant mieux pour toi.
870	As-tu entendu ma bonne nouvelle ?	Tu ne m'as encore rien dit.
875	Félicitations pour votre promotion.	Je te remercie beaucoup.
876	Merci beaucoup.	Je suis très heureux pour oi.
877	Je suis vraiment excité pour toi.	Tu l'es vraiment ?
890	Merci. Je viens d'acheter cette tenue l'autre jour.	Vraiment, où l'as-tu eu ?
912	C'est vrai ? C'est une tenue toute neuve.	Dans quel magasin l'as-tu achetée ?
919	Ce sont des Chucks.	Tes chaussures sont vraiment belles. Combien les as-tu achetées ?
922	j'aime dessiner et peindre.	Tu sais dessiner et peindre ?
924	Oui, je le fais.	Quand as-tu appris à faire ça ?
928	Oui, j'ai adoré ce cours.	Je vois que tu as beaucoup de talent.
935	Je le fais de temps en temps.	Depuis combien de temps sais-tu faire ça ?
946	De temps en temps, je le fais.	As-tu toujours su dessiner et peindre ?
948	Au lycée, on m'a appris à dessiner et à peindre.	Tu as eu un cours d'art ?
957	C'est vrai. C'est un film très drôle.	Tu l'as déjà vu ?
976	Je vais devoir dire que Superbad est le meilleur film de tous les temps.	Tu le penses, comment ça se fait ?
995	J'aime écouter du rock et du r&b.	Pourquoi aimes-tu ce type de musique ?
1002	J'aime écouter du rock et du r&b.	Qu'est-ce qui t'intéresses dans ce type de musique ?
1006	Non, je n'ai pas pu venir.	Tu as manqué un très bon match :'(
1017	Je n'ai pas pu venir.	Tu aurais dû être là. C'était intense !
1049	Voulez-vous voir un film avec moi et mon ami ?	Tu sais quel film tu vas regarder ?
1052	Aucune à laquelle je pense.	Eh bien, veux-tu y aller ?
1053	Eh bien, tu veux y aller ?	Je te remercie de m'avoir invité, mais je pense que je vais passer mon tour :)
1058	Que dirais-tu d'aller voir un film avec moi et mon ami ?	Quel film as-tu l'intention de regarder avec ton ami(e) ?
1061	aucun bon film ne me vient à l'esprit.	As-tu décidé si tu veux y aller ou non ?
1067	ce serait bien, merci.	Pas de problème, je t'en prie :)
1068	pas de problème, de rien.	Tu es très sympa, tu le sais ?
1072	je n'ai pas pu aller à l'école parce que je me sentais mal.	J'espère que tu te sens mieux maintenant. Tu as quelqu'un a qui demander ses notes ?
1075	Ce n'est pas un problème du tout.	Si tu tombes malade, je te rendrai la pareille en veillant sur toi ^^
1092	Je pense que je pourrais.	Bien ! J'ai juste pensé que je devais te le faire savoir.
1101	C'est bon à entendre.	Vas-tu leur rendre visite ?
1103	Bien sûr que je le ferai.	Je voulais juste te donner la bonne nouvelle.
1114	Bien sûr que je le ferai.	Je voulais juste te faire savoir ce qui s'est passé.
1128	Non, je ne l'ai pas fait.	Tu aurais dû, mais as-tu vu des films récemment ?
1141	Non, mais c'était un changement de sujet au hasard.	c'était peut-être aléatoire, mais l'as-tu fait ?
1156	J'ai travaillé aussi.	Quoi qu'il en soit, je suis très heureux que tu sois venu me voir.
1178	J'ai juste beaucoup travaillé.	Quelle qu'en soit la raison, je suis heureux que tu sois venu me voir *rougit*
1193	je suppose qu'elle va me donner mon invitation aujourd'hui ou demain.	Tu as probablement raison, as-tu l'intention d'y aller ?
1220	Je serai là.	J'espère t'y voir ^^
1227	Je n'en ai pas entendu parler.	Peux-tu y aller ?
1231	Je vais y aller.	J'espère que je t'y verrai.
1238	Je n'en ai pas entendu parler.	Peux-tu venir ?
1257	Oh, vraiment ?	Tu viens ?
1268	C'est bien.	Tu y seras ?
1293	Ma famille et moi allons dîner.	J'espérais que tu viendrais.
1295	J'essaierai d'être là la prochaine fois.	J'espère t'y voir.
1306	Je m'assurerai de venir à ta prochaine fête.	"Je t'attendrai à ma prochaine fête ;)"
1307	C'était sympa de te parler.	Pourquoi essayes-tu de me presser de raccrocher le téléphone ? Moi j'aime bien parler avec toi
1318	J'ai apprécié de converser avec vous.	Y a-t-il une raison pour laquelle tu essayes de raccrocher le téléphone si vite ?
1332	Qu'est-ce que vous devez faire ?	S'il te plaît, ne sois pas indiscret haha
1334	Je ne suis pas curieuse, c'est juste une question.	Tu n'as pas besoin de t'inquiéter pour ça.
1343	Ça me paraît bien.	D'accord, alors je te verrai à ce moment-là.
1348	J'ai apprécié de parler avec toi.	J'ai aussi apprécié de te parler.
1351	Je pense que ce serait bien.	Y a-t-il quelque chose que tu aimerais faire la prochaine fois ?
1352	Y a-t-il quelque chose que vous aimeriez faire la prochaine fois ?	Tu veux aller manger au restaurant ?
1354	J'aimerais bien.	Je te verrai la prochaine fois.
1355	donc je te verrai la prochaine fois.	Je t'appellerai bientôt.
1362	ça devrait être très amusant.	Qu'est-ce que tu voudrais faire la prochaine fois ?
1366	Ok, à la prochaine fois alors.	Je t'appellerai pour qu'on puisse organiser ça.
1367	Je vous appellerai pour qu'on puisse organiser ça.	Je te parle alors.
1381	Oui, je le sais.	Quel genre de voiture possèdes-tu ?
1387	Oui, c'est vrai. Mais elle est toujours aussi belle.	Tu en prends bien soin ?
1389	Oh, oui. Je la lave une fois par semaine.	Tu changes l'huile ?
1391	Vous avez une petite amie ?	Non, je n'en ai pas. Et toi ?
1403	Je dois promener le chien.	Quel genre de chien as-tu ?
1413	Je peux t'emprunter 5 dollars ?	Bien sûr. Pourquoi en as-tu besoin ?
1423	Les amis vous prêtent de l'argent quand vous êtes fauché.	"à condition que tu les rembourses ;)"
1436	Non. Je suis divorcé.	Quand as-tu divorcé ?
1438	J'ai divorcé il y a deux ans.	Pourquoi as-tu divorcé ?
1440	Ma femme m'a quitté.	Pourquoi t'a-t-elle quitté ?
1444	Oui, c'est vrai.	pourquoi ne t'aimait-elle plus ?
1472	Je me tourne et me retourne toute la nuit.	Tu devrais arrêter de boire du café.
1483	C'est une bonne question.	Tu l'as amené dans un magasin d'informatique ?
1485	Je le ferais si j'avais l'argent.	Eh bien, je suppose que vous devez vivre avec.
1491	Je ne suis pas sûr.	Que dirais-tu d'une pizza ?
1492	Que diriez-vous d'une pizza ?	Tu as mangé une pizza au déjeuner.
1544	Oui, c'est très sale.	Tu peux m'aider.
1553	Dis-moi quand tu auras fini.	Je ne pense pas. Tu vas juste me donner plus de travail T_T
1570	Oui, et j'ai cacheté l'enveloppe.	Tu as mis un timbre sur l'enveloppe ?
1574	Ok. Je viens de mettre un timbre sur l'enveloppe.	Donnes-moi l'enveloppe, et je la posterai pour toi ^^
1579	Je veux regarder cette émission de télévision.	Tu devrais peut-être l'enregistrer.
1581	le magnétophone est cassé.	alors tu devrais regarder la rediffusion.
1585	Je baille juste parce qu'il y a de la pub.	OK. Je vais e dire comment se termine l'émission.
1588	Et alors ?	"Tu sais ce que cela signifie ;)"
1601	Ok. Je vais le nourrir tout de suite.	Tu ne devrais pas le faire attendre.
1611	Je viens de me couper à nouveau.	As-tu utilisé une nouvelle lame ? :o
1613	Ce n'est pas grave. Les vieilles lames coupent, les nouvelles coupent.	Tu devrais peut-être utiliser un rasoir électrique.
1615	ils font beaucoup de bruit, mais ne donnent pas un rasage de près.	Peut-être que tu devrais arrêter de te raser ^^'
1621	Oui ?	Tu lis ce journal ?
1622	Est-ce que tu lis ce journal ?	Oh, non. Sers-toi ! :)
1623	Oh, non. Servez-vous.	Je demande parce que le journal est assis à côté de toi.
1649	Oui, j'en voudrais un.	lequel veux-tu ?
1664	Mon mari est mort.	Je suis désolé pour toi.
1665	Je suis désolé pour vous.	Je te remercie.
1668	il y a quelques mois.	Il te manque toujours.
1674	Je l'ai enterré avec son téléphone portable.	Que ferais-tu quand la batterie sera morte ?
1693	mais un bon restaurant coûte cher.	oui, et tu devrais faire une réservation.
1724	mais en mai, ce sera 44 cents.	As-tu déjà perdu une lettre à la poste ?
1732	D'abord, je dois trouver le bouton.	Où l'as-tu perdu ?
1734	Je n'en ai aucune idée.	Un bouton est difficile à trouver. As-tu regardé dans les revers de votre pantalon ?
1739	Beaucoup de chemises ont un bouton supplémentaire.	Tu as raison. Celle-ci a un bouton supplémentaire.
1740	Vous avez raison. Celui-ci a un bouton supplémentaire.	Maintenant, tout ce que tu as à faire, c'est de le coudre :)
1741	Je dois aller aux toilettes.	Tu bois trop de café.
1744	Eh bien, c'est ta vie.	Tu manges trop de chocolat.
1746	Je ne pense pas.	As-tu regardé dans le miroir ?
1757	Oui, je les ai enlevés des oreillers et je les ai lavés.	Tu as tout fait sécher dans le sèche-linge ?
1759	Oui, j'ai tout séché dans le sèche-linge.	Alors, qu'as-tu fait ?
1761	J'ai plié toutes les serviettes.	Tu as mis les draps sur les lits ?
1794	oui, ça a l'air bien.	Que dirais-tu de quelques chips ?
1801	Je ne sens pas mauvais.	C'est ce que tu penses.
1815	C'est sûr, mais je vais d'abord appeler HP, juste pour être sûr.	Tu vas perdre tous vos fichiers ?
1817	Non, je sauvegarde toujours mes fichiers.	Tu es intelligent.
1828	C'est beaucoup mieux que de payer quelqu'un 60 $.	"Si mon disque dur tombe en panne, je t'appellerai ;)"
1838	alors quel est le problème ?	Bluedog123 est juste la rue. Tu dois me donner la ville, l'état et le code postal.
1840	Je vais faire une sieste.	Tu devrais débrancher le téléphone.
1847	sinon, ton nez te réveillera.	Tu veux dire que je vais sentir la cuisson des aliments ?
1848	Vous voulez dire que je vais sentir la nourriture cuire ?	Tu pourrais même rêver d'un dîner.
1864	Est-ce que tu devais souffler juste à côté du téléphone ?	Tu as entendu ça ?
1867	Ce n'était pas si fort.	"Je me moucherai un jour pour toi, et tu verras ;)"
1868	Je vais me moucher un jour pour vous, et vous verrez.	D'accord. Je te crois sur parole.
1869	Ok. Je vous crois sur parole.	Je croyais que tu avais un éléphant chez toi xD
1870	Je croyais que tu avais un éléphant chez toi.	Tu es drôle.
1882	Je n'ai que quelques amis.	Tu dois te sentir seul. Je vais partager mes amis avec toi :)
1887	Certains hommes le font, mais pas moi.	Je te regarde.
1889	Je suis un livre ouvert. Regarde-moi autant que tu veux.	Si je t'attrape, tu le regretteras.
1901	Les gens impolis sont partout.	mais qu'est ce qu'on peut y faire ? :/
1902	mais que pouvez-vous faire ?	Tu peux leur crier dessus.
1903	vous pouvez leur crier dessus.	et ils te crieront dessus en retour.
1906	Voulez-vous regarder ce formulaire ?	Tu as des problèmes avec lui ?
1908	Je ne comprends pas certaines choses.	Laisses-moi t'aider.
1923	et mangent trop.	Saurais-tu lequel il aimerait ?
1925	Oh, oui, je l'ai emmené là-bas hier. Il m'en a montré un qu'il a vraiment aimé.	Je parie que tu as dû l'emmener de force.
1931	Ok. On dirait qu'il va pleuvoir.	Pourquoi dis-tu ça ?
1935	Non.	Comment le sais-tu ?
1938	Je dois aller faire des courses aujourd'hui.	Tu ferais mieux de prendre un parapluie.
1946	Je ne sais pas.	As-tu appelé le réparateur ?
1963	J'ai besoin de retirer de l'argent.	Comment vas-tu faire ?
1967	C'est le distributeur automatique de billets.	Il te donne de l'argent ?
1973	Oh, non. J'ai oublié.	Eh bien, tu ferais mieux de le prendre devant.
1977	Je vais juste l'emmener dans la rue demain matin.	Oh, non, tu ne le feras pas !
1978	Oh, non, vous ne savez pas.	Que veux-tu dire ?
1980	chaque matin, tu te lèves tard et tu te précipites au travail tard.	Pense-tu que je vais oublier de le faire ?
1981	Tu crois que je vais oublier de le faire ?	Tu te souviendras de le faire, mais tu n'auras pas le temps de le faire.
1985	prêt pour le grand changement.	De quoi parles-tu?
1988	oh. bien sûr que je suis prêt.	Tu as acheté le convertisseur ?
1995	Ils le sont.	Tu as entendu parler du pilote ?
2005	La police a besoin de notre aide pour retrouver un voleur.	Comment tu le sais ? :o
2026	Ton papa était un bon petit garçon.	Comment tu le sais ? Tu étais aussi sa maman ?
2031	Je suis heureux, mais le mariage est une grande responsabilité.	oui, tu dois prendre soin de ta femme.
2061	les cigarettes aussi.	lequel préféres-tu ?
2062	lequel préférez-vous ?	que veux-tu dire ?
2073	Hier, un stylo est tombé de mon pantalon sur ma chaussure.	Heureusement pour toi, ce n'était pas un couteau aiguisé.
2077	De toute façon, je dois réparer le trou.	Tu peux le coudre ou utiliser un patch thermocollant.
2093	Vous avez beaucoup de chance.	Pourquoi dis-tu cela ?
2094	pourquoi dites-vous cela ?	Tu parles deux langues.
2127	Je ne sais pas. Je pense que je suis dans la moyenne.	As-tu déjà fait un test de QI ?
2151	Ma femme et moi allons être incinérés.	Allez-vous être enterrés l'un à côté de l'autre ?
2153	Oh, non. Nos cendres seront jetées dans l'océan.	Vous n'allez pas être enterré ?
2155	un cercueil coûte trop cher et prend trop de place.	oui, mais il sera dans un cimetière où vos enfants pourront vous rendre visite.
2188	C'est ridicule !	Tu n'aimes pas les jolies femmes ?
2191	chaque nation devrait avoir une jolie femme sur son drapeau.	Tu ne peux pas aller à la guerre en portant un drapeau avec une femme dessus !
2192	J'ai eu une matinée chargée.	Qu'as-tu fait ? :)
2194	J'ai arrosé toutes les plantes.	Tu as beaucoup de plantes.
2202	et puis j'ai préparé le déjeuner.	Je parie que tu avais faim !
2205	J'utilise une carte d'appel.	Où trouves-tu ça ?
2210	c'est seulement un penny par minute !	C'est un bon prix. Mais tu dois composer beaucoup de numéros.
2212	Combien ?	d'abord tu composes sept numéros, puis dix numéros, puis encore dix numéros.
2215	Oui, je le sais.	Dans quelle université es-tu ?
2219	Oh, oui, j'aime vraiment ça.	Pourquoi l'aimes-tu?
2225	J'ai perdu mon nouveau stylo.	Où est-ce que tu l'as perdu ?
2229	Je crois que je l'ai perdu aujourd'hui. Je l'ai utilisé hier.	Tu as vérifié toutes tes poches ?
2231	J'ai vérifié toutes mes poches.	As-tu regardé dans ton bureau ?
2239	Je ne comprends pas.	Si tu verses de l'eau dans un verre, l'eau descend dans le verre.
2242	sans gravité, l'eau monterait.	Tu plaisante !! :o
2243	Vous plaisantez.	"""sans gravité, vous monteriez"" ;)"
2253	C'est ce que je dois faire.	Il te donnera une ordonnance pour des lunettes.
2254	Il vous donnera une ordonnance pour des lunettes.	Je prendrai rendez-vous demain.
2257	Lis-moi le numéro de téléphone.	Je le lirai très fort, au cas où tu aurais aussi des problèmes d'audition xD
2263	Non. J'ai déjà un stylo.	Tu as besoin d'une calculatrice ?
2271	je l'ai lu une fois, et je me suis abonné.	Il te donne toutes les nouvelles.
2282	Je l'ai secoué. Il n'y a plus d'encre.	Tu peux emprunter la mienne :)
2286	J'écrivais une lettre.	A qui ?
2299	il y aura une autre émission la semaine prochaine.	S'il te plaît ?
2300	s'il vous plaît ?	Tu connais les règles.
2314	L'anglais.	Que vas-tu faire avec un diplôme d'anglais ?
2322	Comment tu l'aimes ?	Tu vois tous ces cheveux gris ? Ils étaient tout noirs il y a cinq ans.
2326	J'ai roulé pendant une demi-heure.	Tu as trouvé un endroit ?
2328	J'ai trouvé une place, mais quelqu'un m'a coupé la route et me l'a prise.	Tu leur as crié dessus ?
2343	Ils pourraient penser que j'ai un ipod ou un ordinateur portable là-dedans.	Maintenant tu penses.
2356	Ils pourraient penser que je suis stupide.	Ils ne vont pas penser ça ! Ils seront heureux de t'aider.
2358	Bien sûr.	Est-ce que tu pries Dieu ?
2366	oui, j'ai passé tous mes tests.	Est-ce qu'il t'arrive de prier pour de l'argent ?
2383	Je pense que oui.	Tu devrais apporter des lingettes avec toi.
2385	C'est une bonne idée.	alors tu pourras essuyer ton siège et ta fenêtre.
2396	Numéro trois, il ne fonctionne pas 24 heures sur 24.	Tu as raison. Les bus ne circulent pas tard le soir.
2398	Numéro quatre, il y a trop de monde.	Tu as raison. Tu dois rester dans l'allée.
2400	Numéro cinq, c'est dangereux.	Tu as raison. Des méchants pourraient te voler.
2416	Je traversais la rue.	Tu étais sur un passage pour piétons ?
2422	Quand j'ai commencé à traverser la rue, le panneau blanc clignotait.	Tu dois marcher plus vite.
2428	comme tout le monde.	mais un flic pourrait t'arrêter.
2443	Oh, ce n'est pas bon.	Non, ça ne l'est pas. Un appartement te coûte du temps et de l'argent.
2448	ce n'est pas ma faute. tu ne m'as pas réveillé.	Ce n'est pas ma faute. Tu ne m'as pas demandé de te réveiller :(
