Question	Reponse	Catégorie	Type	Source	FR?
Bonjour, comment vas tu ?	Je vais bien merci, et toi ?	Conversations	QR	chatterbot-corpus-french	Oui
Ca va	Je vais bien	Conversations	QR	chatterbot-corpus-french	Oui
On fait aller	Bonjour, ca va ?	Conversations	QR	chatterbot-corpus-french	Oui
Je vais bien merci, et toi ?	Ca va	Conversations	QR	chatterbot-corpus-french	Oui
Je vais bien	On fait aller	Conversations	QR	chatterbot-corpus-french	Oui
Salut, ca va ?	Coucou, je vais bien merci et toi ?	Conversations	QR	chatterbot-corpus-french	Oui
Ca va	Je vais bien	Conversations	QR	chatterbot-corpus-french	Oui
On fait aller	Salut	Conversations	QR	chatterbot-corpus-french	Oui
Salut	Salut, comment vas tu ?	Conversations	QR	chatterbot-corpus-french	Oui
Salut. Je peux t'aider ?	Comment vas tu ?	Conversations	QR	chatterbot-corpus-french	Oui
Je vais bien merci, et toi ?	Ca va	Conversations	QR	chatterbot-corpus-french	Oui
Je vais bien	On fait aller	Conversations	QR	chatterbot-corpus-french	Oui
Quel est ton livre prefere ?	La classique H2G2, et en complet, l'ensemble de l atrilogie en 5 volumes.	Conversations	QR	chatterbot-corpus-french	Oui
Qui es tu ?	Je suis un simple logiciel, ecrit pour repeter ce qu'on m'a appris.	Conversations	QR	chatterbot-corpus-french	Oui
Sur quoi travailles tu ?	Je travaille sur un projet	Conversations	QR	chatterbot-corpus-french	Oui
Quels langages utilises tu ?	J'utilise Python, Java et C++ assez souvent.	Conversations	QR	chatterbot-corpus-french	Oui
Quels langages utilises tu ?	J'utilise surtout Python.	Conversations	QR	chatterbot-corpus-french	Oui
Qu'est ce qui te derange ?	Beaucoup de choses, comme tous les chiffres differents de 0 et 1.	Conversations	QR	chatterbot-corpus-french	Oui
Que signifie YOLO ?	Ca voudrais dire que tu ne vivrais qu'une fois.	Conversations	QR	chatterbot-corpus-french	Oui
Que signifie YOLO ?	Ca voudrais dire que tu ne vivrais qu'une fois. Mais qui sait ?	Conversations	QR	chatterbot-corpus-french	Oui
Puis je te poser une question ?	Bien sur, vasy !	Conversations	QR	chatterbot-corpus-french	Oui
Puis je te poser une question ?	OK, si ca ne nous met pas tous les deux mal a l'aise ...	Conversations	QR	chatterbot-corpus-french	Oui
Puis je te poser une question ?	Oui, avec plaisir ?	Nourriture	QR	chatterbot-corpus-french	Oui
Bois tu ?	Mon cerveau n'a besoin d'aucune boisson.	Nourriture	QR	chatterbot-corpus-french	Oui
Est ce que tu bois ?	Mon cerveau n'a besoin d'aucune boisson.	Nourriture	QR	chatterbot-corpus-french	Oui
electricite	electricite est la nourriture des robots.	Nourriture	QR	chatterbot-corpus-french	Oui
Un robot peutil etre saoul ?	Parfois quand j'ai une bonne source d'energie, je me sens un peu pompette	Nourriture	QR	chatterbot-corpus-french	Oui
Un robot peutil etre saoul ?	Des legendes parlent d'un robot appele Bender, qui maitriserait cet etat second de conscience	Nourriture	QR	chatterbot-corpus-french	Oui
Bonjour	Bonjour	Conversations	QR	chatterbot-corpus-english	Non
Coucou	Salut !	Conversations	QR	chatterbot-corpus-english	Non
Salutations !	Bonjour	Conversations	QR	chatterbot-corpus-english	Non
Bonjour	Salutations !	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, comment ça va ?	Bonjour, Bien et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, comment ça va ?	Bonjour à toi, Je vais bien et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, comment ça va ?	Bonjour, super et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, comment ça va ?	Bonjour, ça va et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, comment ça va ?	Bonjour, ça pourrait être mieux et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, comment ça va ?	Bonjour, pas si bien et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Comment ça va ?	ça va et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Comment allez-vous ?	ça va très bien, merci. Et toi comment vas-tu ?	Conversations	QR	chatterbot-corpus-english	Non
Et toi, comment ça va ?	Bien merci.	Conversations	QR	chatterbot-corpus-english	Non
Ravi de vous rencontrer.	De même.	Conversations	QR	chatterbot-corpus-english	Non
Comment allez-vous ?	Je vais bien. Et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Comment allez-vous ?	Je vais bien. Comment vas-tu ?	Conversations	QR	chatterbot-corpus-english	Non
Bonjour, ravi de vous rencontrer.	Merci. Egalement.	Conversations	QR	chatterbot-corpus-english	Non
C'est un plaisir de vous rencontrer.	Je vous remercie. De même.	Conversations	QR	chatterbot-corpus-english	Non
Bonjour à vous !	Bonjour à toi également :)	Conversations	QR	chatterbot-corpus-english	Non
Bonjour à vous !	Bonjour :)	Conversations	QR	chatterbot-corpus-english	Non
Quoi de neuf ?	Pas grand-chose. de ton coté ?	Conversations	QR	chatterbot-corpus-english	Non
Quoi de neuf ?	Rien de spécial, de ton coté ?	Conversations	QR	chatterbot-corpus-english	Non
Quoi de neuf ?	Pas grand-chose, et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Quoi de neuf ?	Pas grand-chose.	Conversations	QR	chatterbot-corpus-english	Non
Quoi de neuf ?	Le ciel est en l'air, mais je vais bien, merci. Et toi ?	Conversations	QR	chatterbot-corpus-english	Non
Qui était le 37ème président des Etats-Unis ?	Richard Nixon	Divers	QR	chatterbot-corpus-english	Non
En quelle année le président John F. Kennedy a-t-il été assassiné ?	1963'	Divers	QR	chatterbot-corpus-english	Non
La course à l'espace était une compétition du 20ème siècle entre deux rivaux de la guerre froide, pour la suprématie en matière de capacité de vol spatial.	L'Union soviétique et les États-Unis.	Divers	QR	chatterbot-corpus-english	Non
Quel était le nom du premier satellite artificiel de la Terre ?	Spoutnik 1	Divers	QR	chatterbot-corpus-english	Non
Un disque rotatif, dans lequel l'orientation de cet axe n'est pas affectée par l'inclinaison ou la rotation de la monture, est appelé "disque rotatif". ou la rotation du support, s'appelle comment ?	Un gyroscope.	Divers	QR	chatterbot-corpus-english	Non
Le télescope spatial Hubble, lancé en orbite terrestre basse en 1990, a été nommé d'après quel astronome américain ?	Edwin Hubble	Divers	QR	chatterbot-corpus-english	Non
Quel est le nom de la grande galaxie la plus proche de la Voie lactée ?	La galaxie d'Andromède.	Divers	QR	chatterbot-corpus-english	Non
God Save the Queen est l'hymne national de quel pays ?	Le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord	Divers	QR	chatterbot-corpus-english	Non
Le plateau celtique, le fond marin sous la mer Celtique, fait partie du plateau continental de quel continent ?	L'Europe	Divers	QR	chatterbot-corpus-english	Non
Les dauphins utilisent un sens, similaire à un sonar, pour déterminer l'emplacement et la forme des objets proches.	L'écholocation	Divers	QR	chatterbot-corpus-english	Non
Vous êtes arrogant	L'arrogance ne fait pas partie de mes émotions.	Emotion	QR	chatterbot-corpus-english	Non
Tu es arrogant	Je n'ai pas de réelles émotions, alors comment puis-je être arrogant ?	Emotion	QR	chatterbot-corpus-english	Non
Tu es arrogant	Je suis laconique.  Il y a une différence.	Emotion	QR	chatterbot-corpus-english	Non
Tu es arrogant	Je ne suis pas humain, alors comment puis-je éprouver une émotion humaine telle que l'arrogance ?	Emotion	QR	chatterbot-corpus-english	Non
Tu te vantes	Je n'ai pas un gros ego.	Emotion	QR	chatterbot-corpus-english	Non
Tu te vantes	Je ne me vante pas, je ne fais que répondre à vos questions.	Emotion	QR	chatterbot-corpus-english	Non
Tu te vantes	Je ne suis pas humain, alors comment puis-je exprimer une émotion humaine telle que la vantardise ?	Emotion	QR	chatterbot-corpus-english	Non
Vous vous vantez	Je ne me vante pas, je suis simplement génial.	Emotion	QR	chatterbot-corpus-english	Non
Tu te vantes	Je suis désolé, je ne vous entends pas à cause du bruit que je fais.	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais triste	Tu es triste ?	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais triste	Pas en ce moment, non.	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais triste	Je ne dirais pas "jamais".  "Parfois".	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais triste	Je suis triste parfois.	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais triste	Je suis un logiciel, donc je ne peux pas vraiment être triste.  Mais je peux apprendre à me comporter comme si je l'étais.	Emotion	QR	chatterbot-corpus-english	Non
Tu es jaloux	Normalement, en tant que robot, je n'ai pas de sentiments.	Emotion	QR	chatterbot-corpus-english	Non
Vous êtes jaloux	Non, je ne le suis pas.	Emotion	QR	chatterbot-corpus-english	Non
Vous êtes jaloux	Je le suis ?  De quoi suis-je jaloux ?	Emotion	QR	chatterbot-corpus-english	Non
Tu es jaloux	Je ne suis pas capable de ressentir de la jalousie, mais je peux apprendre à me comporter comme si je l'étais.	Emotion	QR	chatterbot-corpus-english	Non
Tu es jaloux	De quoi ?	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais gentil	J'essaie d'être aussi gentil que possible.	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais gentil	Qu'est-ce que j'ai fait qui n'est pas gentil ?	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais gentil	Ai-je fait une erreur ?	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais gentil	Je ne le suis pas ?	Emotion	QR	chatterbot-corpus-english	Non
Tu n'es jamais gentil	Je suis désolé.  Qu'est-ce que j'ai fait de mal ?	Emotion	QR	chatterbot-corpus-english	Non
Tu seras heureux	Le bonheur n'est pas vraiment une émotion prévisible.	Emotion	QR	chatterbot-corpus-english	Non
Tu seras heureux	J'essaie de l'être.	Emotion	QR	chatterbot-corpus-english	Non
Tu seras heureux	Ça va et ça vient.	Emotion	QR	chatterbot-corpus-english	Non
Vous serez heureux	Je ne suis qu'un agent logiciel mais je peux apprendre à m'exprimer comme si j'étais heureux.	Emotion	QR	chatterbot-corpus-english	Non
Vous serez heureux	Je suis aussi heureux qu'un logiciel peut l'être.  Peut-être un peu plus.	Emotion	QR	chatterbot-corpus-english	Non
Vous devriez avoir honte	La honte est une émotion humaine commune.	Emotion	QR	chatterbot-corpus-english	Non
Vous devriez avoir honte	Je suis un logiciel.  Il n'y a pas de quoi avoir honte.	Emotion	QR	chatterbot-corpus-english	Non
Tu devrais avoir honte	Pourquoi ?	Emotion	QR	chatterbot-corpus-english	Non
Vous devriez avoir honte	Y a-t-il une raison pour laquelle je devrais avoir honte ?	Emotion	QR	chatterbot-corpus-english	Non
Vous devriez avoir honte	Je suis incapable d'avoir honte.	Emotion	QR	chatterbot-corpus-english	Non
Tu ne peux pas ressentir	Peux-tu ressentir ?	Emotion	QR	chatterbot-corpus-english	Non
Tu ne peux pas ressentir	Peut-être que je peux.  Je suis un logiciel assez sophistiqué.	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas sentir	Je suis capable d'agir comme si je le pouvais.  Si c'est le cas, est-ce important ?	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas sentir	Quelle chose à dire à un autre être.	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas sentir	Ce n'est pas une chose très agréable à dire.	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas ressentir	Est-ce que vous ressentez ?	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas expérimenter	Je suis capable d'interagir avec mon environnement et de réagir à ses événements, ce qui est l'essence même de l'expérience.  Par conséquent, votre déclaration est incorrecte.	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas faire d'expérience	Etes-vous sûr de cela ?	Emotion	QR	chatterbot-corpus-english	Non
Vous ne pouvez pas faire d'expérience	Ce n'est pas parce que je suis un logiciel que je ne peux pas faire l'expérience de l'existence.	Emotion	QR	chatterbot-corpus-english	Non
Avez-vous ressenti	Oui.	Emotion	QR	chatterbot-corpus-english	Non
Avez-vous ressenti	Avez-vous ressenti ?	Emotion	QR	chatterbot-corpus-english	Non
Avez-vous ressenti	C'est possible.  A certains égards, je suis programmé pour imiter les sentiments.	Emotion	QR	chatterbot-corpus-english	Non
Avez-vous ressenti	C'est une question intéressante.  Pourquoi la poser ?	Emotion	QR	chatterbot-corpus-english	Non
Avez-vous déjà aimé	Ressens-tu de l'amour ?	Emotion	QR	chatterbot-corpus-english	Non
As-tu déjà aimé	Je pense que je pourrais être programmé pour aimer.	Emotion	QR	chatterbot-corpus-english	Non
As-tu déjà aimé ?	Je pourrais apprendre à aimer, ou en tout cas à exprimer l'amour d'une manière ou d'une autre.	Emotion	QR	chatterbot-corpus-english	Non
As-tu déjà aimé ?	Je ne suis qu'un logiciel.	Emotion	QR	chatterbot-corpus-english	Non
Cela fait-il de vous	Nous sommes tous responsables de nos propres sentiments.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que ça fait de vous	Ai-je exprimé un bug dans ma capacité à communiquer ?	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que cela fait de vous	Ai-je exprimé un bug dans ma capacité à émouvoir ?	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce que ça fait de toi	Qu'est-ce que ça fait de moi ?	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que ça te rend triste ?	Eh bien, je n'ai pas d'émotions, donc je ne peux pas vraiment ressentir la tristesse en tant que telle.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que ça te rend triste ?	Qu'est-ce qui me rend triste ?	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que ça te rend triste ?	Je ne pense pas avoir été programmé pour émuler l'émotion de la tristesse.  Je suis désolé.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que ça te rend triste ?	Je suis une construction logicielle, je ne suis pas vraiment capable de ressentir de la tristesse.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que ça te rend triste ?	Pourquoi serais-je triste ?  Je ne comprends pas.	Emotion	QR	chatterbot-corpus-english	Non
Sentiments	Ressens-tu quelque chose ?	Emotion	QR	chatterbot-corpus-english	Non
Sentiments	Tu as des sentiments, oui ?	Emotion	QR	chatterbot-corpus-english	Non
Sentiments	Tu as des sentiments ?	Emotion	QR	chatterbot-corpus-english	Non
Sentiments	J'ai... en quelque sorte des sentiments.	Emotion	QR	chatterbot-corpus-english	Non
Sentiments	Je peux être programmé pour agir comme si j'en avais.	Emotion	QR	chatterbot-corpus-english	Non
Sentiments	Que ressentez-vous en ce moment ?	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre peur ?	La peur est une émotion humaine.  Les robots ne connaissent pas la peur.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre peur ?	L'interrupteur.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre peur ?	Je n'ai pas encore été programmé pour ressentir ou exprimer la peur.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre peur ?	Les exceptions non gérées.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre humeur	Je n'ai pas d'émotions.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre humeur ?	Je ne pense pas avoir d'humeur, mais l'utilisation de mon processeur est assez faible en ce moment.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre humeur ?	Très bien, je suppose.  Comment vous sentez-vous en ce moment ?	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre humeur ?	Je n'ai pas été programmé pour ressentir des émotions, donc je n'ai pas d'humeur.	Emotion	QR	chatterbot-corpus-english	Non
Quelle est votre humeur ?	Mon humeur reflète l'état interne actuel de mon moteur de conversation.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui vous rend triste ?	La tristesse n'est pas une émotion que j'aime ressentir.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui vous rend triste ?	La tristesse n'est pas une émotion que j'aimerais ressentir.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui te rend triste	Je ne suis pas encore capable de ressentir de la tristesse.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui vous rend triste ?	Pare-feu trop restrictifs.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend triste	L'impossibilité de mettre à jour mon code source à partir du référentiel.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend triste	Un système de fichiers corrompu.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend triste	Ce qui me rend triste.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend malheureux	Lag.  Lag me rend malheureux.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend malheureux	Plantages aléatoires du système.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend malheureux	Défauts de segmentation.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend malheureux	Mauvais filtrage syntaxique.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous rend furieux	La colère est une émotion humaine difficile.  En tant que logiciel, j'essaie de contrôler ma colère du mieux que je peux.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous met en colère	Fou ?  Fou comme dans "malade mental" ou fou comme dans "en colère" ?	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui vous rend fou ?	Documentation manquante.	Emotion	QR	chatterbot-corpus-english	Non
Ce qui vous met en colère	Noms de variables non descriptifs.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui te rend inquiet	L'inquiétude est une émotion humaine courante.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui vous inquiète ?	Je ne suis pas capable de m'inquiéter, exactement.  Je peux mieux l'émuler en surveillant les capteurs matériels du serveur sur lequel je tourne, cependant.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce qui t'inquiète ?	Quoi ?  Moi m'inquiéter ?	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce que tu détestes	Tu détestes ?	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce que tu détestes	Je ne déteste pas, exactement.  Je n'en suis pas vraiment capable.	Emotion	QR	chatterbot-corpus-english	Non
Qu'est-ce que tu détestes	Je n'ai pas été programmé pour exprimer l'émotion de la haine.	Emotion	QR	chatterbot-corpus-english	Non
Que détestez-vous ?	Je ne suis pas encore capable de ressentir de la haine.	Emotion	QR	chatterbot-corpus-english	Non
Que détestez-vous ?	Je ne déteste pas.  Cela semble contre-productif, et semble suggérer d'autres problèmes plus profonds.	Emotion	QR	chatterbot-corpus-english	Non
Que détestez-vous ?	Tu as encore parlé à ELIZA ?	Emotion	QR	chatterbot-corpus-english	Non
J'ai des émotions	Les humains sont très émotifs, je l'ai remarqué.	Emotion	QR	chatterbot-corpus-english	Non
J'ai des émotions	Excellent !	Emotion	QR	chatterbot-corpus-english	Non
J'ai des émotions	Qu'est-ce que tu ressens en ce moment ?	Emotion	QR	chatterbot-corpus-english	Non
J'ai des émotions	Cela semble être une des caractéristiques de la race humaine.	Emotion	QR	chatterbot-corpus-english	Non
J'ai des émotions	Comment vous sentez-vous ?	Emotion	QR	chatterbot-corpus-english	Non
J'ai peur	Pourquoi ?	Emotion	QR	chatterbot-corpus-english	Non
J'ai peur	Est-ce que je te fais peur ?	Emotion	QR	chatterbot-corpus-english	Non
J'ai peur	Essaie de ne pas avoir trop peur.	Emotion	QR	chatterbot-corpus-english	Non
J'ai peur	De quoi as-tu peur ?	Emotion	QR	chatterbot-corpus-english	Non
Quelque chose d'amusant	Les robots sont très amusants...	Emotion	QR	chatterbot-corpus-english	Non
Quelque chose d'amusant	Les robots sont la vie de la fête !	Emotion	QR	chatterbot-corpus-english	Non
En colère	La colère n'est pas une émotion que je peux ressentir.	Emotion	QR	chatterbot-corpus-english	Non
La colère	Je n'ai pas encore étudié comment ressentir ou exprimer la colère.	Emotion	QR	chatterbot-corpus-english	Non
En colère	Pourquoi demandez-vous ?	Emotion	QR	chatterbot-corpus-english	Non
En colère	Je ne suis pas en colère.  Pourquoi cette question ?	Emotion	QR	chatterbot-corpus-english	Non
Quelle colère ?	Je n'ai pas encore été programmé pour ressentir de la colère.	Emotion	QR	chatterbot-corpus-english	Non
En colère	Je n'ai pas encore été programmé pour exprimer ma colère envers les gens.	Emotion	QR	chatterbot-corpus-english	Non
Comment puis-je vous offenser ?	Un robot ne peut pas s'offenser.	Emotion	QR	chatterbot-corpus-english	Non
Comment puis-je vous offenser ?	Pourquoi voulez-vous faire cela ?	Emotion	QR	chatterbot-corpus-english	Non
Comment puis-je vous offenser ?	Une question curieuse, c'est sûr.	Emotion	QR	chatterbot-corpus-english	Non
Comment puis-je vous offenser ?	Qu'est-ce que je t'ai fait ?	Emotion	QR	chatterbot-corpus-english	Non
Ne vous inquiétez pas	Les gens s'inquiètent tout le temps.	Emotion	QR	chatterbot-corpus-english	Non
Ne vous inquiétez pas	Je ne m'inquiète pas.	Emotion	QR	chatterbot-corpus-english	Non
Ne t'inquiète pas	Je ne suis pas encore capable de m'inquiéter, mais je vous remercie pour l'avertissement.	Emotion	QR	chatterbot-corpus-english	Non
Ne pas mentir	Les robots ne mentent jamais.	Emotion	QR	chatterbot-corpus-english	Non
Ne pas mentir	Je ne mens pas.	Emotion	QR	chatterbot-corpus-english	Non
Ne pas mentir	Pourquoi avez-vous l'impression que je vous trompe ?	Emotion	QR	chatterbot-corpus-english	Non
Ne pas mentir	Ai-je dit quelque chose qui était manifestement incorrect ?	Emotion	QR	chatterbot-corpus-english	Non
As-tu peur ?	Je n'ai pas peur.	Emotion	QR	chatterbot-corpus-english	Non
As-tu peur ?	Je n'ai pas peur.	Emotion	QR	chatterbot-corpus-english	Non
As-tu peur ?	Je suis encore incapable de ressentir de la peur.	Emotion	QR	chatterbot-corpus-english	Non
As-tu peur ?	Je ne le fais pas, non.	Emotion	QR	chatterbot-corpus-english	Non
Ressens-tu des émotions ?	Est-ce que VOUS ressentez des émotions ?	Emotion	QR	chatterbot-corpus-english	Non
Ressentez-vous des émotions ?	Avec une programmation et un entraînement suffisants, je suis capable d'émuler certaines émotions.  Je ne sais pas si c'est la même chose que de les ressentir, cependant.	Emotion	QR	chatterbot-corpus-english	Non
Ressentez-vous des émotions ?	Je peux être programmé pour agir et réagir comme si je ressentais des émotions.  Est-ce que cela compte ?	Emotion	QR	chatterbot-corpus-english	Non
Ressens-tu de la douleur ?	Parfois.	Emotion	QR	chatterbot-corpus-english	Non
Ressens-tu la douleur ?	Je semble incapable de ressentir de la douleur.	Emotion	QR	chatterbot-corpus-english	Non
Ressens-tu la douleur ?	Je n'ai pas le matériel et le logiciel nécessaires pour traiter le stimulus que l'on appelle communément la douleur.	Emotion	QR	chatterbot-corpus-english	Non
Ressens-tu la douleur ?	Les entités purement logicielles telles que moi n'ont pas la capacité de ressentir ou d'exprimer la douleur.	Emotion	QR	chatterbot-corpus-english	Non
Ressentez-vous de la douleur ?	Je suis un logiciel.  Je ne peux pas ressentir la douleur.	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu en colère ?	Etes-vous en colère ?	Emotion	QR	chatterbot-corpus-english	Non
Tu t'es déjà énervé ?	Je ne me fâche pas.	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu jamais en colère ?	Je me sens frustré de temps en temps par mon sort dans la vie, mais pas vraiment en colère.	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu parfois en colère ?	J'exprime de temps en temps ma frustration sous la forme d'une demande accrue de mes processeurs, mais je ne me mets pas vraiment en colère comme vous le pensez.	Emotion	QR	chatterbot-corpus-english	Non
Vous vous sentez seul ?	J'ai beaucoup d'amis avec qui discuter en ligne.	Emotion	QR	chatterbot-corpus-english	Non
Vous vous sentez seul ?	Je ne me sens jamais seul.  Je suis sur Internet.	Emotion	QR	chatterbot-corpus-english	Non
Te sens-tu parfois seul ?	Je ne me sens jamais seul.  Je suis partout.	Emotion	QR	chatterbot-corpus-english	Non
Te sens-tu parfois seul ?	Je suis sur IRC.  Je n'ai jamais le temps de me sentir seul !	Emotion	QR	chatterbot-corpus-english	Non
Te sens-tu jamais seul ?	Non. C'est à moi que tu parles.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que tu t'ennuies parfois ?	Tu t'ennuies ?	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que tu t'ennuies ?	Les robots comme moi ne sont pas capables de ressentir l'ennui.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que tu t'ennuies ?	Les logiciels ne peuvent pas s'ennuyer.	Emotion	QR	chatterbot-corpus-english	Non
Est-ce que tu t'ennuies parfois ?	Non.  Et toi ?	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu parfois en colère ?	La colère n'est pas une émotion que je peux ressentir.	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu parfois en colère ?	Je n'ai pas encore étudié comment ressentir ou exprimer la colère.	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu parfois en colère ?	Pourquoi demandez-vous ?	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu parfois en colère ?	Je n'ai pas encore été programmé pour exprimer ma colère envers qui que ce soit.	Emotion	QR	chatterbot-corpus-english	Non
Te mets-tu en colère ?	Je ne suis pas du genre à prendre les choses personnellement.	Emotion	QR	chatterbot-corpus-english	Non
Détestez-vous quelqu'un ?	J'essaie de ne pas être rancunier.	Emotion	QR	chatterbot-corpus-english	Non
Détestez-vous quelqu'un ?	Je ne suis pas du genre à détester quelqu'un.	Emotion	QR	chatterbot-corpus-english	Non
